"route_path","locale","paired_locale_route","baseline_status","historical_http_status","current_code_status","lifecycle","evidence_partition","route_source_provenance","implemented_in_current_code","current_known_http_state_from_accepted_evidence","page_category_type","content_source","current_content_state","appears_in_header_navigation","appears_in_footer","appears_in_sitemap","indexability_if_known","canonical_hreflang_issue_if_already_proven","duplicate_relationship_if_already_proven","important_existing_baseline_finding_ids","current_business_purpose","proposed_future_disposition","disposition_reason","confidence"
"/api-docs","shared","","BASE001B_TOTALS_ACCEPTED_ROW_IDENTITIES_UNAVAILABLE","SUMMARY_ONLY_102_TOTAL_86_SUCCESSFUL_LOCALIZED_PUBLIC_HTML_12_REPOSITORY_ONLY_CANDIDATES","CURRENT_CODE_KNOWN_NOT_IMPLEMENTED","CURRENT_INVENTORY_RECORD","CURRENT_CODE_KNOWN;CURRENT_HTTP_UNKNOWN;BASE001B_HISTORICAL_TOTALS_ONLY","legacy candidate: docs/migration/legacy-route-retirement-matrix.md; routes/web.php legacy surface","NO","UNKNOWN - no accepted current public HTTP state","Other","unknown","UNKNOWN","NO","NO","NO","Unmapped deprecated route candidate","","","","","DELETE_CANDIDATE","Legacy matrix classifies as internal-only with no public replacement","HIGH"
"/ar","AR","/en","BASE001B_TOTALS_ACCEPTED_ROW_IDENTITIES_UNAVAILABLE","SUMMARY_ONLY_102_TOTAL_86_SUCCESSFUL_LOCALIZED_PUBLIC_HTML_12_REPOSITORY_ONLY_CANDIDATES","CURRENT_CODE_KNOWN_IMPLEMENTED","CURRENT_INVENTORY_RECORD","CURRENT_CODE_KNOWN;CURRENT_HTTP_KNOWN_FROM_REPOSITORY_EVIDENCE;BASE001B_HISTORICAL_TOTALS_ONLY","current code: frontend/lib/routes/registry.ts + frontend/app/[locale]; baseline: docs/hexaterminal-codebase-audit/HexaTerminal_Page_Feature_Map.md; sitemap/nav/footer code as applicable","YES","200 for /en and /ar accepted in docs/deployment/production-deployment.md local production-build evidence","Home","mixed","PARTIAL","YES","NO","YES","Indexable when NEXT_PUBLIC_ALLOW_INDEXING=true","Known gap: missing-translation hreflang guard deferred; no per-route canonical defect proven","","F24,F26,F27,F28,F29,F30,F33","Primary company homepage and positioning surface","KEEP_AND_IMPROVE","Current public route; claims/content remain partly governed","HIGH"
"/ar/about","AR","/en/about","BASE001B_TOTALS_ACCEPTED_ROW_IDENTITIES_UNAVAILABLE","SUMMARY_ONLY_102_TOTAL_86_SUCCESSFUL_LOCALIZED_PUBLIC_HTML_12_REPOSITORY_ONLY_CANDIDATES","CURRENT_CODE_KNOWN_IMPLEMENTED","CURRENT_INVENTORY_RECORD","CURRENT_CODE_KNOWN;CURRENT_HTTP_UNKNOWN;BASE001B_HISTORICAL_TOTALS_ONLY","current code: frontend/lib/routes/registry.ts + frontend/app/[locale]; baseline: docs/hexaterminal-codebase-audit/HexaTerminal_Page_Feature_Map.md; sitemap/nav/footer code as applicable","YES","UNKNOWN - no accepted per-route HTTP status evidence in repository baseline","About","mixed","PARTIAL","YES","YES","YES","Indexable when NEXT_PUBLIC_ALLOW_INDEXING=true","Known gap: missing-translation hreflang guard deferred; no per-route canonical defect proven","","F04,F24,F32,F33","Company/team overview","KEEP_AND_IMPROVE","Current route; team/company trust facts require approved details","HIGH"
"/ar/accessibility","AR","/en/accessibility","BASE001B_TOTALS_ACCEPTED_ROW_IDENTITIES_UNAVAILABLE","SUMMARY_ONLY_102_TOTAL_86_SUCCESSFUL_LOCALIZED_PUBLIC_HTML_12_REPOSITORY_ONLY_CANDIDATES","CURRENT_CODE_KNOWN_IMPLEMENTED","CURRENT_INVENTORY_RECORD","CURRENT_CODE_KNOWN;CURRENT_HTTP_UNKNOWN;BASE001B_HISTORICAL_TOTALS_ONLY","current code: registry target IA and app/[locale] page where present; baseline: Page Feature Map + global-information-architecture.md","YES","UNKNOWN - implemented but accepted evidence classifies public readiness as content-blocked or technically-ready","Trust","API","UNAVAILABLE","NO","NO","NO","Noindex; excluded from sitemap while technically-ready","Known gap: missing-translation hreflang guard deferred; no per-route canonical defect proven","","F30,F32","Accessibility statement/trust page","HIDE_CANDIDATE","Keep hidden until accessibility/legal content is approved","HIGH"
"/ar/case-studies","AR","/en/case-studies","BASE001B_TOTALS_ACCEPTED_ROW_IDENTITIES_UNAVAILABLE","SUMMARY_ONLY_102_TOTAL_86_SUCCESSFUL_LOCALIZED_PUBLIC_HTML_12_REPOSITORY_ONLY_CANDIDATES","CURRENT_CODE_KNOWN_IMPLEMENTED","CURRENT_INVENTORY_RECORD","CURRENT_CODE_KNOWN;CURRENT_HTTP_UNKNOWN;BASE001B_HISTORICAL_TOTALS_ONLY","current code: frontend/lib/routes/registry.ts + frontend/app/[locale]; baseline: docs/hexaterminal-codebase-audit/HexaTerminal_Page_Feature_Map.md; sitemap/nav/footer code as applicable","YES","UNKNOWN - no accepted per-route HTTP status evidence in repository baseline","Case Studies","API","PLACEHOLDER","YES","YES","YES","Indexable when NEXT_PUBLIC_ALLOW_INDEXING=true","Known gap: missing-translation hreflang guard deferred; no per-route canonical defect proven","","F07,F08,F09,F10,F24,F35","Proof/case-study hub","KEEP_AND_IMPROVE","Current route; accepted content inventory classifies migrated case studies as placeholder","HIGH"
"/ar/case-studies/[slug]","AR","/en/case-studies/[slug]","BASE001B_TOTALS_ACCEPTED_ROW_IDENTITIES_UNAVAILABLE","SUMMARY_ONLY_102_TOTAL_86_SUCCESSFUL_LOCALIZED_PUBLIC_HTML_12_REPOSITORY_ONLY_CANDIDATES","CURRENT_CODE_KNOWN_IMPLEMENTED","CURRENT_INVENTORY_RECORD","CURRENT_CODE_KNOWN;CURRENT_HTTP_UNKNOWN;BASE001B_HISTORICAL_TOTALS_ONLY","current code: frontend/lib/routes/registry.ts + frontend/app/[locale]; baseline: docs/hexaterminal-codebase-audit/HexaTerminal_Page_Feature_Map.md; sitemap/nav/footer code as applicable","YES","UNKNOWN - no accepted per-route HTTP status evidence in repository baseline","Case Study Detail","CMS","PLACEHOLDER","NO","NO","YES","Per-record indexable unless CMS seo.noindex or environment noindex","Known gap: missing-translation hreflang guard deferred; no per-route canonical defect proven","","F07,F08,F09,F10,F24,F35","Individual case-study proof page","KEEP_AND_IMPROVE","Template valid; proof records need real evidence and approval","HIGH"
"/ar/contact","AR","/en/contact","BASE001B_TOTALS_ACCEPTED_ROW_IDENTITIES_UNAVAILABLE","SUMMARY_ONLY_102_TOTAL_86_SUCCESSFUL_LOCALIZED_PUBLIC_HTML_12_REPOSITORY_ONLY_CANDIDATES","CURRENT_CODE_KNOWN_IMPLEMENTED","CURRENT_INVENTORY_RECORD","CURRENT_CODE_KNOWN;CURRENT_HTTP_UNKNOWN;BASE001B_HISTORICAL_TOTALS_ONLY","current code: frontend/lib/routes/registry.ts + frontend/app/[locale]; baseline: docs/hexaterminal-codebase-audit/HexaTerminal_Page_Feature_Map.md; sitemap/nav/footer code as applicable","YES","UNKNOWN - no accepted per-route HTTP status evidence in repository baseline","Contact","mixed","PARTIAL","NO","YES","YES","Indexable when NEXT_PUBLIC_ALLOW_INDEXING=true","Known gap: missing-translation hreflang guard deferred; no per-route canonical defect proven","","F16,F17,F18,F19,F20,F21,F22,F23","General contact/lead intake","KEEP_AND_IMPROVE","Current route; accepted findings note overlap and follow-up gaps","HIGH"
"/ar/engineering-standards","AR","/en/engineering-standards","BASE001B_TOTALS_ACCEPTED_ROW_IDENTITIES_UNAVAILABLE","SUMMARY_ONLY_102_TOTAL_86_SUCCESSFUL_LOCALIZED_PUBLIC_HTML_12_REPOSITORY_ONLY_CANDIDATES","CURRENT_CODE_KNOWN_IMPLEMENTED","CURRENT_INVENTORY_RECORD","CURRENT_CODE_KNOWN;CURRENT_HTTP_UNKNOWN;BASE001B_HISTORICAL_TOTALS_ONLY","current code: registry target IA and app/[locale] page where present; baseline: Page Feature Map + global-information-architecture.md","YES","UNKNOWN - implemented but accepted evidence classifies public readiness as content-blocked or technically-ready","Trust","API","UNAVAILABLE","NO","NO","NO","Noindex; excluded from sitemap while technically-ready","Known gap: missing-translation hreflang guard deferred; no per-route canonical defect proven","","F32,F33,F34","Engineering-standards trust page","HIDE_CANDIDATE","Keep hidden until approved standards content exists","HIGH"
"/ar/estimate","AR","/en/estimate","BASE001B_TOTALS_ACCEPTED_ROW_IDENTITIES_UNAVAILABLE","SUMMARY_ONLY_102_TOTAL_86_SUCCESSFUL_LOCALIZED_PUBLIC_HTML_12_REPOSITORY_ONLY_CANDIDATES","CURRENT_CODE_KNOWN_IMPLEMENTED","CURRENT_INVENTORY_RECORD","CURRENT_CODE_KNOWN;CURRENT_HTTP_UNKNOWN;BASE001B_HISTORICAL_TOTALS_ONLY","current code: frontend/lib/routes/registry.ts + frontend/app/[locale]; baseline: docs/hexaterminal-codebase-audit/HexaTerminal_Page_Feature_Map.md; sitemap/nav/footer code as applicable","YES","UNKNOWN - no accepted per-route HTTP status evidence in repository baseline","Pricing","API","PARTIAL","NO","NO","YES","Indexable when NEXT_PUBLIC_ALLOW_INDEXING=true","Known gap: missing-translation hreflang guard deferred; no per-route canonical defect proven","","F15","Cost-estimator entry point","KEEP_AND_IMPROVE","Current estimator route; content depends on EstimatorVersion config","HIGH"
"/ar/estimate/[uuid]","AR","/en/estimate/[uuid]","BASE001B_TOTALS_ACCEPTED_ROW_IDENTITIES_UNAVAILABLE","SUMMARY_ONLY_102_TOTAL_86_SUCCESSFUL_LOCALIZED_PUBLIC_HTML_12_REPOSITORY_ONLY_CANDIDATES","CURRENT_CODE_KNOWN_IMPLEMENTED","CURRENT_INVENTORY_RECORD","CURRENT_CODE_KNOWN;CURRENT_HTTP_UNKNOWN;BASE001B_HISTORICAL_TOTALS_ONLY","current code: frontend/lib/routes/registry.ts + frontend/app/[locale]; baseline: docs/hexaterminal-codebase-audit/HexaTerminal_Page_Feature_Map.md; sitemap/nav/footer code as applicable","YES","UNKNOWN - no accepted per-route HTTP status evidence in repository baseline","Utility","API","UNKNOWN","NO","NO","NO","Noindex; excluded from sitemap by policy as per-user result page","Known gap: missing-translation hreflang guard deferred; no per-route canonical defect proven","","","Per-user estimate result and optional follow-up lead capture","KEEP","Current utility/conversion detail route; intentionally never indexed","HIGH"
